feature,count,mean,std,min,25%,50%,75%,max
mfcc1_mean,720.0,-304.92379462499997,42.14101290986504,-424.77286,-331.8147875,-302.0569,-281.008775,-142.4061
mfcc2_mean,720.0,77.260350575,14.095477477906591,31.800566,67.46058149999999,76.97282200000001,84.01957,142.56061
mfcc3_mean,720.0,8.459706462620833,16.67156489102805,-52.56721,-0.10505466,6.7941282,12.042073875,58.943188
mfcc4_mean,720.0,28.320671274583336,14.81690316033339,-3.1414542,17.00914,27.658499499999998,35.16771425,86.45051
mfcc5_mean,720.0,0.8677294253930554,13.578027110694563,-58.248272,-7.41755485,3.35083815,8.4633265,37.593525
mfcc6_mean,720.0,-4.817743651500001,13.108252469898405,-47.938114,-8.5368985,-1.4383107000000002,3.6881622000000003,16.318405
mfcc7_mean,720.0,-7.940179655758333,8.748926202765992,-36.055904,-15.401283,-8.169266499999999,-0.430975265,14.816235
mfcc8_mean,720.0,-13.343875443791669,12.77198641638642,-47.406548,-15.680678499999999,-9.4984775,-6.723066,12.154684
mfcc9_mean,720.0,-9.090550882465276,7.572484248237075,-31.81362,-14.9114825,-7.89129675,-3.251217225,6.4143505
mfcc10_mean,720.0,-7.4223109952430555,6.5265871393139765,-30.728025,-12.260143,-6.6326605,-1.668207575,6.8324413
mfcc11_mean,720.0,-7.029245650263889,6.825868203766003,-23.50276,-12.04230075,-5.7436308,-2.22963235,14.795714
mfcc12_mean,720.0,-6.525004469171389,5.3289445571826715,-26.891216,-10.038501,-5.5509617,-2.598477675,3.8799763
mfcc13_mean,720.0,-5.436219549415278,6.265641586014466,-22.458069,-9.173119250000001,-5.691910399999999,-1.62969555,10.061254
mfcc14_mean,720.0,-3.832889260979166,6.15267379257524,-20.213745,-8.48533075,-4.04829725,-0.2456915375,14.485778
mfcc15_mean,720.0,-7.1713367000694435,4.534956488096844,-20.109327,-10.065315499999999,-7.37767225,-3.7417769,9.93089
mfcc16_mean,720.0,-4.59060406468125,5.95517367802352,-20.053225,-9.69978975,-3.27490235,0.1853401875,11.215314
mfcc17_mean,720.0,-6.07922517186111,4.489109717110808,-18.765846,-8.868694249999999,-5.63890685,-3.38750545,14.370251
mfcc18_mean,720.0,-3.913075765470278,3.539370681042099,-12.674262,-6.5443883750000005,-4.592571700000001,-1.303154225,10.6990795
mfcc19_mean,720.0,-7.095576578808334,3.558771908393367,-16.427198,-9.561406250000001,-6.82323245,-5.1868153249999995,3.5589936
mfcc20_mean,720.0,-4.045312122338056,3.7573448822925086,-12.096177,-6.192120125000001,-3.9488128500000004,-2.034345175,8.222016
mfcc1_std,720.0,135.9588459652778,26.404165132773546,79.50758,115.5078295,136.726295,153.5011475,197.34908
mfcc2_std,720.0,55.99837190555555,4.761906099291352,42.88539,52.457631250000006,55.698325999999994,59.53256025,69.08475
mfcc3_std,720.0,32.662101656944444,4.346713950637342,20.932177,29.7079545,32.675107999999994,35.630116,45.606003
