rank_test_score,mean_test_score,std_test_score,mean_fit_time,mean_score_time,params
1,0.9770405362072028,0.014957174140397482,0.2252706527709961,0.040664958953857425,{'classifier__n_neighbors': 1}
2,0.9680604189799592,0.021567566482983996,0.2198814868927002,0.04150381088256836,{'classifier__n_neighbors': 10}
3,0.9678017351350684,0.021711133660470616,0.21936187744140626,0.041738367080688475,{'classifier__n_neighbors': 3}
4,0.9616102249435583,0.014896549768772601,0.21914658546447754,0.04223132133483887,{'classifier__n_neighbors': 5}
5,0.9576644534109164,0.033254225489481315,0.21783437728881835,0.041710186004638675,{'classifier__n_neighbors': 75}
6,0.9548499436394172,0.043597593908049556,0.2167668342590332,0.04144554138183594,{'classifier__n_neighbors': 50}
7,0.9488359691547249,0.04674176153834375,0.21714844703674316,0.041072654724121097,{'classifier__n_neighbors': 20}
8,0.9390025277423361,0.05146633062997816,0.21827960014343262,0.0411494255065918,{'classifier__n_neighbors': 30}
9,0.8703733986189179,0.07575582854389389,0.21847705841064452,0.0413055419921875,{'classifier__n_neighbors': 100}
10,0.4193304577617103,0.1594935103136496,0.2220510482788086,0.0414731502532959,{'classifier__n_neighbors': 150}
11,0.18953549952703577,0.08382506418829487,0.21598391532897948,0.04234857559204101,{'classifier__n_neighbors': 200}
12,0.043008100934028445,0.025934400505495184,0.21832380294799805,0.04152636528015137,{'classifier__n_neighbors': 250}
