rank_test_score,mean_test_score,std_test_score,mean_fit_time,mean_score_time,params
1,0.9905917330255484,0.004983840630233799,0.23275036811828614,0.036987829208374026,{'classifier__C': 100}
2,0.9867609658963795,0.009393051706442852,0.23369250297546387,0.03696098327636719,{'classifier__C': 50}
3,0.9844694796048932,0.010213466969914514,0.2357884407043457,0.0383852481842041,{'classifier__C': 10}
4,0.9747021349306539,0.015307024821267192,0.24110875129699708,0.03735861778259277,{'classifier__C': 5}
5,0.9599066211074325,0.023302737835249325,0.2257596492767334,0.03678011894226074,{'classifier__C': 1}
6,0.959240867572386,0.015505919862368716,0.22579078674316405,0.037260580062866214,{'classifier__C': 2}
7,0.9544820351429321,0.04433022903041254,0.22029833793640136,0.03684544563293457,{'classifier__C': 0.1}
8,0.9521378248714581,0.030606072966298276,0.22581491470336915,0.037269878387451175,{'classifier__C': 0.5}
9,0.9515834844182944,0.04165217078449869,0.21974382400512696,0.03732447624206543,{'classifier__C': 0.01}
10,0.928226082917553,0.048512619749740984,0.2215031147003174,0.036706066131591795,{'classifier__C': 0.001}
11,0.7537335767904241,0.022508650299542913,0.2195423126220703,0.03673601150512695,{'classifier__C': 0.0001}
