rank_test_score,mean_test_score,std_test_score,mean_fit_time,mean_score_time,params
1,0.8813482726567597,0.12125764843597778,0.2239828586578369,0.037359619140625,{'classifier__alpha': 0.001}
1,0.8813482726567597,0.12125764843597778,0.22084531784057618,0.03681149482727051,{'classifier__alpha': 0.01}
3,0.8579128271546803,0.13535583014140914,0.2278214931488037,0.03755307197570801,{'classifier__alpha': 0.1}
4,0.7821201955459655,0.11851491934638152,0.22365856170654297,0.037122344970703124,{'classifier__alpha': 0.5}
5,0.7376336221184421,0.13804042132240096,0.23945794105529786,0.037228727340698244,{'classifier__alpha': 1}
6,0.7151956425313347,0.13926166195245948,0.22407164573669433,0.036512136459350586,{'classifier__alpha': 2}
7,0.6418595209753182,0.13859819044217067,0.22341933250427246,0.036774063110351564,{'classifier__alpha': 5}
8,0.5107643436007839,0.23658977836578496,0.22718138694763185,0.036853694915771486,{'classifier__alpha': 10}
9,0.28180985453205537,0.2387730237950076,0.22277636528015138,0.03681669235229492,{'classifier__alpha': 20}
10,0.113983339886225,0.09475462948054099,0.2255795955657959,0.03746123313903808,{'classifier__alpha': 50}
11,0.09924220076874946,0.10290004892324706,0.221295166015625,0.03769574165344238,{'classifier__alpha': 100}
11,0.09924220076874946,0.10290004892324706,0.22420291900634765,0.037025737762451175,{'classifier__alpha': 200}
